Movie Name,Director,text,Movie Rating
96,c.premkumar,"['cpremkumar', 'drama', 'romance', 'two', 'high', 'school', 'sweetheart', 'meet', 'reunion', '22', 'year', 'reminisce', 'past']",8.5
The Best of Youth,marcotulliogiordana,"['marcotulliogiordana', 'drama', 'romance', 'italian', 'epic', 'follows', 'life', 'two', 'brother', '1960s', '2000s']",8.5
The World of Apu,satyajitray,"['satyajitray', 'drama', 'final', 'installment', 'satyajit', 'ray', 'apu', 'trilogy', 'follows', 'apus', 'life', 'orphaned', 'adult', 'aspiring', 'writer']",8.5
Le Trou,jacquesbecker,"['jacquesbecker', 'crime', 'drama', 'thriller', 'distrust', 'uncertainty', 'arise', 'four', 'longterm', 'inmate', 'cautiously', 'induct', 'new', 'prisoner', 'elaborate', 'prisonbreak', 'scheme']",8.5
Kumbalangi Nights,madhuc.narayanan,"['madhucnarayanan', 'comedy', 'drama', 'romance', 'film', 'revolves', 'around', 'four', 'brother', 'share', 'lovehate', 'relationship', 'relationship', 'progress', 'another', 'level', 'saji', 'boney', 'franky', 'decide', 'help', 'bobby', 'stand', 'love']",8.5
Sarpatta Parambarai,pa.ranjith,"['paranjith', 'action', 'drama', 'sport', 'sarpatta', 'parambarai', 'challenged', 'doordie', 'match', 'kabilan', 'young', 'labourer', 'put', 'glove', 'lead', 'clan', 'victory', 'dissuaded', 'disapproving', 'mother', 'dangerous', 'politics']",8.5
Jersey,gowtamtinnanuri,"['gowtamtinnanuri', 'drama', 'sport', 'failed', 'cricketer', 'decides', 'revive', 'cricketing', 'career', 'late', '30', 'despite', 'everyone', 'skeptical', 'ability']",8.5
Thalapathi,maniratnam,"['maniratnam', 'action', 'crime', 'drama', 'orphan', 'named', 'surya', 'raised', 'slum', 'befriends', 'good', 'crime', 'bos', 'named', 'devaraj', 'work', 'existence', 'threatened', 'new', 'honest', 'district', 'collector', 'arrives']",8.5
Selvi Boylum Al Yazmalim,atifyilmaz,"['atifyilmaz', 'drama', 'romance', 'story', 'dilemma', 'woman', 'love', 'logic', 'asya', 'young', 'girl', 'strict', 'mother', 'meet', 'ilyas', 'womanizer', 'city', 'man', 'quickly', 'fall', 'love', 'get', 'see', 'full', 'summary', '»']",8.5
Operation 'Y' & Other Shurik's Adventures,leonidgaidai,"['leonidgaidai', 'comedy', 'crime', 'drama', 'three', 'story', 'shurik', 'young', 'student', 'fight', 'criminal', 'fall', 'love', 'confuses', 'apartment', 'pass', 'exam', 'life']",8.5
