title,authors,text,average_rating,ratings_count
The Mad Ship,robinhobb,"['robinhobb', 'fantasy', 'fiction', 'fantasy', 'master', 'robin', 'hobb', 'delivers', 'stunning', 'second', 'volume', 'liveship', 'trader', 'trilogy', 'returning', 'timeless', 'city', 'bingtown', 'pirate', 'plague', 'coast', 'dreaded', 'slave', 'trade', 'flourish', 'althea', 'vestrit', 'doesnt', 'time', 'afraid', 'family', 'newly', 'awakened', 'liveship', 'vivacia', 'seized', 'ruthless', 'pirate', 'kennit', 'althea', 'hatch', 'bold', 'plan', 'carry', 'must', 'recruit', 'liveship', 'already', 'slain', 'two', 'crew', 'said', 'insane']",4.24,36101.0
Post Captain,patrickobrian,"['patrickobrian', 'aubrey', 'jack', 'fictitious', 'character', 'tale', 'begin', 'jack', 'aubrey', 'arriving', 'home', 'exploit', 'mediterranean', 'find', 'england', 'peace', 'following', 'treaty', 'amiens', 'friend', 'stephen', 'maturin', 'surgeon', 'secret', 'agent', 'begin', 'live', 'life', 'country', 'gentleman', 'hunting', 'entertaining', 'enjoying', 'amorous', 'adventure', 'comfortable', 'existence', 'however', 'cut', 'short', 'jack', 'overnight', 'reduced', 'pauper', 'enough', 'debt', 'keep', 'prison', 'life', 'flees', 'continent', 'seek', 'refuge', 'instead', 'find', 'hunted', 'fugitive', 'napoleon', 'ordered', 'internment', 'englishman', 'france', 'aubreys', 'adventure', 'escaping', 'france', 'debtor', 'prison', 'grip', 'reader', 'fast', 'unequalled', 'action', 'sea']",4.29,7815.0
The Reverse of the Medal,patrickobrian,"['patrickobrian', 'adventure', 'story', 'book', 'jack', 'aubrey', 'return', 'duty', 'protecting', 'whaler', 'south', 'american', 'coast', 'persuaded', 'casual', 'acquaintance', 'make', 'investment', 'city', 'strength', 'supposedly', 'certain', 'information', 'led', 'halfworlds', 'london', 'criminal', 'underground', 'government', 'espionage', 'province', 'friend', 'stephen', 'maturin']",4.41,177.0
Miss Marple,agathachristie,"['agathachristie', 'detective', 'mystery', 'story', 'english', 'miss', 'marple', 'featured', '20', 'short', 'story', 'published', 'number', 'different', 'collection', 'britain', 'america', 'presented', 'order', 'publication', 'miss', 'marple', 'us', 'unique', 'insight', 'deduce', 'truth', 'series', 'unsolved', 'crime']",4.2,6235.0
The Years of Rice and Salt,kimstanleyrobinson,"['kimstanleyrobinson', 'black', 'death', 'hailed', 'new', 'york', 'time', 'book', 'review', 'eyeopening', 'alternative', 'history', 'last', '600', 'year', 'begin', 'black', 'death', 'kill', 'nearly', 'everyone', 'europe', 'china', 'india', 'nation', 'islam', 'control', 'world']",3.73,194.0
Spares,michaelmarshallsmith,"['michaelmarshallsmith', 'human', 'cloning', 'spare', 'human', 'clone', 'ultimate', 'health', 'insurance', 'eye', 'eye', 'people', 'taking', 'story', 'jack', 'randall', 'burntout', 'dropped', 'way', 'overdrawn', 'luck', 'bank', 'caretaker', 'spare', 'farm', 'still', 'choice', 'might', 'make', 'difference']",4.13,2481.0
Gravity,tessgerritsen,"['tessgerritsen', 'science', 'fiction', 'emma', 'watson', 'research', 'physician', 'training', 'mission', 'lifetime', 'study', 'living', 'organism', 'microgravity', 'space', 'true', 'lethal', 'nature', 'experiment', 'revealed', 'nasa', 'aboard', 'space', 'station', 'thing', 'start', 'go', 'wrong', 'culture', 'singlecelled', 'archaeons', 'gathered', 'deep', 'sea', 'begin', 'rapidly', 'multiply', 'infect', 'crew', 'deadly', 'agonising', 'result', 'estranged', 'husband', 'ground', 'crew', 'nasa', 'work', 'clock', 'launch', 'rescue', 'emma', 'stuggles', 'contain', 'lethal', 'microbe', 'contagion', 'threatening', 'earth', 'population', 'would', 'leave', 'astronaut', 'stranded', 'orbit', 'quarantined', 'aboard', 'station']",4.04,8024.0
The Wise Woman,philippagregory,"['philippagregory', 'great', 'britain', 'alone', 'vulnerable', 'alys', 'join', 'nunnery', 'attempt', 'escape', 'poverty', 'find', 'thrown', 'back', 'outside', 'world', 'henry', 'viii', 'wrecker', 'destroy', 'sanctuary', 'nothing', 'look', 'magic', 'instinctive', 'cunning', 'alys', 'tread', 'perilous', 'path', 'faith', 'childhood', 'female', 'power', 'fall', 'love', 'hugo', 'feudal', 'lord', 'another', 'woman', 'husband', 'dip', 'witchcraft', 'defeat', 'rival', 'win', 'lover', 'find', 'magic', 'make', 'poor', 'servant', 'dominant', 'master', 'since', 'heresy', 'new', 'church', 'mean', 'stake', 'witchcraft', 'rope', 'alyss', 'danger', 'mortal', 'woman', 'power', 'longer', 'safe', 'use']",3.31,6583.0
Girls' Night in,jessicaadams chrismanby fionawalker,"['jessicaadams', 'chrismanby', 'fionawalker', 'american', 'fiction', 'girl', 'night', 'feature', 'story', 'growing', 'growing', 'moving', 'moving', 'falling', 'apart', 'getting', 'together', 'turn', 'cell', 'phone', 'curl', 'couch', 'one', 'girl', 'night', 'wont', 'want', 'miss']",3.26,140.0
The White Album,joandidion,"['joandidion', 'american', 'essay', 'collection', 'essay', 'recount', 'took', 'place', 'long', 'morning', '1960s', 'everyone', 'coming', 'particular', 'bad', 'trip', 'didion', 'observes', 'drama', 'explode', 'america', 'go', 'collective', 'detox', 'mother', 'abandoning', 'fiveyearold', 'daughter', 'central', 'reservation', 'interstate', '5', 'huey', 'newton', 'black', 'panther', 'preaching', 'cell', 'student', 'unconscious', 'parody', 'simulating', 'disaffection', '1960s']",4.17,91.0
